what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344643609088
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1344643609088
java.vm.specification.version,sysinfo,,,"1.7",1344643609088
java.vm.vendor,sysinfo,,,"Oracle Corporation",1344643609088
java.vm.version,sysinfo,,,"22.1-b02",1344643609088
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1344643609753
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1344643612400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344643625050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344643653466
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344643653791
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1344643654133
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1344643654325
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1344643654326
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1344643654327
